operation_id,visit_id,operation_type,aircraft_category,start_time,end_time,pax,stand_id,stand_type,walking_distance,is_contact
V_M02653_M02668_TURN,V_M02653_M02668,turnaround,C,2026-03-14 15:45:00,2026-03-14 17:15:00,272,110,contato,135.0,1
V_M02655_M02682_TURN,V_M02655_M02682,turnaround,E,2026-03-14 16:00:00,2026-03-14 18:10:00,596,117,contato,235.0,1
V_M02657_M02670_TURN,V_M02657_M02670,turnaround,C,2026-03-14 16:00:00,2026-03-14 17:20:00,140,121,contato,255.0,1
V_M02658_M02669_TURN,V_M02658_M02669,turnaround,C,2026-03-14 16:05:00,2026-03-14 17:15:00,272,113,contato,150.0,1
V_M02660_M02672_TURN,V_M02660_M02672,turnaround,C,2026-03-14 16:10:00,2026-03-14 17:25:00,272,112,contato,145.0,1
V_M02659_M02690_TURN,V_M02659_M02690,turnaround,C,2026-03-14 16:10:00,2026-03-14 19:05:00,140,119,contato,245.0,1
V_M02661_M02676_TURN,V_M02661_M02676,turnaround,C,2026-03-14 16:15:00,2026-03-14 17:40:00,272,111,contato,140.0,1
V_M02663_M02677_TURN,V_M02663_M02677,turnaround,C,2026-03-14 16:25:00,2026-03-14 17:45:00,272,108,contato,125.0,1
V_M02666_M02681_TURN,V_M02666_M02681,turnaround,C,2026-03-14 16:45:00,2026-03-14 18:10:00,280,109,contato,130.0,1
V_M02667_M02675_TURN,V_M02667_M02675,turnaround,C,2026-03-14 16:50:00,2026-03-14 17:40:00,348,107,contato,120.0,1
V_M02671_M02700_TURN,V_M02671_M02700,turnaround,C,2026-03-14 17:25:00,2026-03-14 19:40:00,372,114,contato,155.0,1
V_M02678_M02707_TURN,V_M02678_M02707,turnaround,C,2026-03-14 17:45:00,2026-03-14 20:10:00,272,112,contato,145.0,1
V_M02679_M02689_TURN,V_M02679_M02689,turnaround,D,2026-03-14 17:50:00,2026-03-14 19:00:00,0,126,contato,280.0,1
V_M02680_M02691_TURN,V_M02680_M02691,turnaround,C,2026-03-14 17:55:00,2026-03-14 19:05:00,352,107,contato,120.0,1
V_M02683_M02727_TURN,V_M02683_M02727,turnaround,C,2026-03-14 18:15:00,2026-03-14 21:15:00,272,113,contato,150.0,1
V_M02685_M02730_ARR,V_M02685_M02730,arrival,C,2026-03-14 18:25:00,2026-03-14 19:10:00,136,115,contato,160.0,1
V_M02686_M02714_TURN,V_M02686_M02714,turnaround,C,2026-03-14 18:30:00,2026-03-14 20:25:00,372,110,contato,135.0,1
